mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.46924600601196287,0.14231109678213227,0.442333459854126,0.14924319756313514,euclidean,1,uniform,"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}",0.6555772994129159,0.6555772994129159,0.6627527723418134,0.6647097195042401,0.6340508806262231,0.6360078277886497,0.6703655352480418,0.6481723237597912,0.6514360313315927,0.6429503916449086,0.6521600081071093,0.011465492226089573,39
0.3927387475967407,0.06204966454429134,0.15284645557403564,0.06118546373369527,euclidean,1,distance,"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'distance'}",0.6555772994129159,0.6555772994129159,0.6627527723418134,0.6647097195042401,0.6340508806262231,0.6360078277886497,0.6703655352480418,0.6481723237597912,0.6514360313315927,0.6429503916449086,0.6521600081071093,0.011465492226089573,39
0.49076907634735106,0.09602904722844922,0.6323870182037353,0.11798965222906081,euclidean,3,uniform,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.690150032615786,0.7064579256360078,0.6927592954990215,0.7031963470319634,0.680365296803653,0.6784083496412263,0.6892950391644909,0.6873368146214099,0.6977806788511749,0.6984334203655352,0.692418320023027,0.00872126898814849,35
0.4609248399734497,0.1188287029698728,0.18373191356658936,0.05144372720608997,euclidean,3,distance,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.690150032615786,0.6999347684279191,0.6894977168949772,0.7012393998695369,0.6810176125244618,0.6718851924331376,0.6886422976501305,0.6814621409921671,0.695822454308094,0.6945169712793734,0.6894168586995584,0.008716478229459817,36
0.4197110414505005,0.09540387147010243,0.49248394966125486,0.1310614215065233,euclidean,5,uniform,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.7129810828440966,0.7240704500978473,0.7142857142857143,0.7123287671232876,0.7018917155903457,0.7025440313111546,0.7160574412532638,0.7127937336814621,0.7140992167101827,0.7003916449086162,0.7111443797805971,0.00701795002893289,31
0.48390398025512693,0.09003551234098318,0.19562041759490967,0.06462393245413849,euclidean,5,distance,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.7097195042400521,0.7188519243313763,0.7116764514024788,0.7097195042400521,0.6986301369863014,0.6986301369863014,0.7108355091383812,0.7075718015665796,0.7101827676240209,0.6990861618798956,0.7074903898395439,0.006345313525827567,33
0.5064542531967163,0.13132474373081798,0.6334920406341553,0.15370292680621742,euclidean,7,uniform,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.7292889758643183,0.7299412915851272,0.7345075016307893,0.726027397260274,0.7188519243313763,0.7221135029354208,0.72911227154047,0.7212793733681462,0.716710182767624,0.7140992167101827,0.724193163799373,0.0062624487854379485,28
0.48899891376495364,0.1481953730606395,0.26912517547607423,0.13403400719179928,euclidean,7,distance,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.7201565557729941,0.726027397260274,0.7286366601435095,0.7227658186562296,0.7129810828440966,0.715590345727332,0.7238903394255874,0.7160574412532638,0.7127937336814621,0.7088772845953003,0.718777665936005,0.006153767175219581,30
0.483457088470459,0.13683683995265533,0.6459441184997559,0.20425798503632697,euclidean,9,uniform,"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}",0.731245923026745,0.7318982387475538,0.7292889758643183,0.7364644487932159,0.7279843444227005,0.7318982387475538,0.7330287206266318,0.7304177545691906,0.72911227154047,0.7232375979112271,0.7304576514249607,0.0032998155838866584,25
0.46768913269042967,0.16113991131168473,0.23195874691009521,0.13770982174809918,euclidean,9,distance,"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}",0.7234181343770385,0.7273320287018917,0.7253750815394651,0.7325505544683627,0.7227658186562296,0.7221135029354208,0.7362924281984334,0.7278067885117493,0.7258485639686684,0.7180156657963447,0.7261518567153604,0.005000458876480393,27
0.5206504821777344,0.18390684925996748,0.6022057294845581,0.14279712341545317,euclidean,11,uniform,"{'metric': 'euclidean', 'n_neighbors': 11, 'weights': 'uniform'}",0.7384213959556425,0.7390737116764514,0.7351598173515982,0.7318982387475538,0.7286366601435095,0.7318982387475538,0.7304177545691906,0.7323759791122716,0.7284595300261096,0.7330287206266318,0.7329370046956514,0.003464782979561028,21
0.4680755138397217,0.13572203795923546,0.24426987171173095,0.09577812655347318,euclidean,11,distance,"{'metric': 'euclidean', 'n_neighbors': 11, 'weights': 'distance'}",0.7351598173515982,0.7371167645140247,0.7377690802348337,0.731245923026745,0.7234181343770385,0.7273320287018917,0.7343342036553525,0.7265013054830287,0.7284595300261096,0.7271540469973891,0.7308490834368011,0.0047319262897495265,24
0.47064220905303955,0.16963738177144533,0.7345736980438232,0.29922520764979765,euclidean,13,uniform,"{'metric': 'euclidean', 'n_neighbors': 13, 'weights': 'uniform'}",0.7371167645140247,0.7377690802348337,0.7345075016307893,0.7371167645140247,0.7364644487932159,0.7332028701891715,0.7330287206266318,0.7336814621409922,0.7369451697127938,0.7356396866840731,0.735547246904055,0.0017049518119315401,19
