mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.21587469577789306,0.011555319495461194,0.23880789279937745,0.01021895330457105,euclidean,1,uniform,"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}",0.6555772994129159,0.6555772994129159,0.6627527723418134,0.6647097195042401,0.6340508806262231,0.6360078277886497,0.6703655352480418,0.6481723237597912,0.6514360313315927,0.6429503916449086,0.6521600081071093,0.011465492226089573,39
0.20585920810699462,0.01587665703290041,0.0698559045791626,0.014167621597785226,euclidean,1,distance,"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'distance'}",0.6555772994129159,0.6555772994129159,0.6627527723418134,0.6647097195042401,0.6340508806262231,0.6360078277886497,0.6703655352480418,0.6481723237597912,0.6514360313315927,0.6429503916449086,0.6521600081071093,0.011465492226089573,39
0.20313019752502443,0.01198055718585677,0.24955909252166747,0.029260625149830712,euclidean,3,uniform,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.690150032615786,0.7064579256360078,0.6927592954990215,0.7031963470319634,0.680365296803653,0.6784083496412263,0.6892950391644909,0.6873368146214099,0.6977806788511749,0.6984334203655352,0.692418320023027,0.00872126898814849,35
0.20830082893371582,0.01811396176171923,0.07958717346191406,0.011326261187908459,euclidean,3,distance,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.690150032615786,0.6999347684279191,0.6894977168949772,0.7012393998695369,0.6810176125244618,0.6718851924331376,0.6886422976501305,0.6814621409921671,0.695822454308094,0.6945169712793734,0.6894168586995584,0.008716478229459817,36
0.1966852903366089,0.011355533363120684,0.25299863815307616,0.019791786189737974,euclidean,5,uniform,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.7129810828440966,0.7240704500978473,0.7142857142857143,0.7123287671232876,0.7018917155903457,0.7025440313111546,0.7160574412532638,0.7127937336814621,0.7140992167101827,0.7003916449086162,0.7111443797805971,0.00701795002893289,31
0.21168298721313478,0.01408691062838882,0.0906308650970459,0.009957112664436298,euclidean,5,distance,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.7097195042400521,0.7188519243313763,0.7116764514024788,0.7097195042400521,0.6986301369863014,0.6986301369863014,0.7108355091383812,0.7075718015665796,0.7101827676240209,0.6990861618798956,0.7074903898395439,0.006345313525827567,33
0.20305211544036866,0.007188912315120898,0.2561571359634399,0.015535218732435291,euclidean,7,uniform,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.7292889758643183,0.7299412915851272,0.7345075016307893,0.726027397260274,0.7188519243313763,0.7221135029354208,0.72911227154047,0.7212793733681462,0.716710182767624,0.7140992167101827,0.724193163799373,0.0062624487854379485,28
0.21989767551422118,0.023514352736581097,0.10164871215820312,0.011438933915948205,euclidean,7,distance,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.7201565557729941,0.726027397260274,0.7286366601435095,0.7227658186562296,0.7129810828440966,0.715590345727332,0.7238903394255874,0.7160574412532638,0.7127937336814621,0.7088772845953003,0.718777665936005,0.006153767175219581,30
0.2037214994430542,0.016506937430632872,0.2510239839553833,0.013626545133640193,euclidean,9,uniform,"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}",0.731245923026745,0.7318982387475538,0.7292889758643183,0.7364644487932159,0.7279843444227005,0.7318982387475538,0.7330287206266318,0.7304177545691906,0.72911227154047,0.7232375979112271,0.7304576514249607,0.0032998155838866584,25
0.2057253360748291,0.02433331799986391,0.09693384170532227,0.007632186603759015,euclidean,9,distance,"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}",0.7234181343770385,0.7273320287018917,0.7253750815394651,0.7325505544683627,0.7227658186562296,0.7221135029354208,0.7362924281984334,0.7278067885117493,0.7258485639686684,0.7180156657963447,0.7261518567153604,0.005000458876480393,27
0.20086660385131835,0.01762239755176614,0.26677956581115725,0.02974329087410406,euclidean,11,uniform,"{'metric': 'euclidean', 'n_neighbors': 11, 'weights': 'uniform'}",0.7384213959556425,0.7390737116764514,0.7351598173515982,0.7318982387475538,0.7286366601435095,0.7318982387475538,0.7304177545691906,0.7323759791122716,0.7284595300261096,0.7330287206266318,0.7329370046956514,0.003464782979561028,21
0.20713284015655517,0.014141384151599695,0.10755393505096436,0.009604103896924667,euclidean,11,distance,"{'metric': 'euclidean', 'n_neighbors': 11, 'weights': 'distance'}",0.7351598173515982,0.7371167645140247,0.7377690802348337,0.731245923026745,0.7234181343770385,0.7273320287018917,0.7343342036553525,0.7265013054830287,0.7284595300261096,0.7271540469973891,0.7308490834368011,0.0047319262897495265,24
0.1966470718383789,0.01592659633185767,0.2840824365615845,0.0224798011875818,euclidean,13,uniform,"{'metric': 'euclidean', 'n_neighbors': 13, 'weights': 'uniform'}",0.7371167645140247,0.7377690802348337,0.7345075016307893,0.7371167645140247,0.7364644487932159,0.7332028701891715,0.7330287206266318,0.7336814621409922,0.7369451697127938,0.7356396866840731,0.735547246904055,0.0017049518119315401,19
